"Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","property_Area","Loan_Status"
1,"0",1,1,674,5296,168000,360,1,1,1
1,"0",1,0,9328,0,188000,180,1,1,1
1,"0",1,0,2333,3803,146000,360,1,1,1
1,"3",1,0,3350,1560,135000,360,1,3,1
0,"0",0,0,4885,0,48000,360,1,1,1
0,"0",1,0,3858,0,76000,360,1,2,1
0,"0",1,0,4667,0,120000,360,1,2,1
1,"2",1,0,7500,0,225000,360,1,3,1
0,"0",1,0,4191,0,120000,360,1,1,1
0,"0",1,0,8333,3750,187000,360,1,1,1
0,"0",1,0,3073,0,70000,180,1,3,1
0,"0",0,0,1907,2365,120000,360,1,3,1
1,"0",1,0,3416,2816,113000,360,1,2,1
1,"1",0,0,2600,2500,90000,360,1,2,1
0,"2",1,0,4923,0,166000,360,0,2,1
1,"1",0,0,3500,1083,135000,360,1,3,1
1,"2",0,0,3917,0,124000,360,1,2,1
0,"0",0,0,4408,0,120000,360,1,2,1
0,"0",1,0,3244,0,80000,360,1,3,1
1,"1",0,0,3321,2088,70000,360,1,2,1
0,"0",0,0,3975,2531,55000,360,1,1,1
0,"0",1,0,2479,0,59000,360,1,3,1
1,"0",1,0,3333,1270,124000,360,1,3,1
1,"1",1,1,7787,0,240000,360,1,3,1
1,"3",0,1,5703,0,130000,360,1,1,1
1,"0",1,0,3173,3021,137000,360,1,3,1
0,"0",1,0,3391,0,132000,360,1,1,1
1,"3",0,0,3850,983,1e+05,360,1,2,1
1,"0",1,0,3727,1775,131000,360,1,2,1
1,"1",1,1,3343,1517,105000,360,1,1,1
1,"2",1,0,4283,2383,127000,360,1,2,1
0,"1",1,0,3620,0,90000,360,1,3,1
0,"0",1,0,4000,0,83000,84,1,3,1
1,"0",1,0,4258,0,125000,360,1,3,1
1,"2",1,0,4500,0,147000,360,1,1,1
1,"2",1,0,4009,1717,116000,360,1,2,1
0,"0",1,0,2971,2791,144000,360,1,2,1
1,"0",1,0,7578,1010,175000,360,1,2,1
1,"0",1,0,6250,0,128000,360,1,2,1
1,"1",1,0,2014,2925,120000,360,1,1,1
1,"2",1,0,6250,1695,210000,360,1,2,1
0,"0",1,0,4758,0,158000,480,1,2,1
0,"0",1,1,6400,0,2e+05,360,1,1,1
1,"1",1,0,2491,2054,104000,360,1,2,1
1,"0",1,0,3716,0,42000,180,1,1,1
0,"0",1,0,3333,1250,110000,360,1,2,1
0,"0",0,0,3189,2598,120000,360,1,1,1
0,"3",1,0,4083,0,103000,360,1,2,1
0,"0",1,0,8333,0,280000,360,1,2,1
1,"1",1,0,3155,1779,140000,360,1,2,1
1,"1",1,0,5500,1260,170000,360,1,1,1
1,"3",1,0,3089,2999,1e+05,240,1,1,1
0,"0",1,1,3463,0,122000,360,1,3,1
0,"1",1,0,3812,0,112000,360,1,1,1
1,"0",1,1,32000,0,550000,360,1,2,1
1,"1",1,0,3315,0,96000,360,1,2,1
1,"2",1,1,10890,0,260000,12,1,1,1
0,"0",1,0,12941,0,150000,300,1,3,1
1,"2",1,0,5819,5000,120000,360,1,1,1
0,"0",1,0,2965,5701,155000,60,1,3,1
1,"2",1,1,6250,1300,108000,360,1,1,1
1,"0",0,0,3406,4417,123000,360,1,2,1
1,"2",1,0,9703,0,112000,360,1,3,1
0,"0",0,0,3276,0,90000,360,1,2,1
1,"1",1,0,4742,717,139000,360,1,2,1
1,"1",0,0,6608,0,137000,180,1,3,1
0,"0",1,0,5900,0,150000,360,1,3,1
1,"1",1,0,2882,1843,123000,480,1,2,1
1,"0",1,0,1809,1868,90000,360,1,3,1
0,"0",1,0,3071,4309,180000,360,1,3,1
1,"0",1,0,2783,1456,113000,360,1,3,1
0,"0",0,1,2583,2167,104000,360,1,1,1
0,"0",1,0,5000,0,148000,360,1,1,1
1,"1",0,0,2661,7101,279000,180,1,2,1
0,"3",1,0,3083,0,255000,360,1,1,1
1,"2",1,0,4855,0,72000,360,1,1,1
0,"0",0,1,1599,2474,125000,300,1,2,1
1,"2",1,1,4246,4246,214000,360,1,3,1
1,"1",1,0,6083,4250,330000,360,1,3,1
1,"0",1,0,4333,2291,133000,350,1,1,1
0,"0",1,0,2060,2209,134000,360,1,2,1
0,"0",1,0,7200,0,120000,360,1,1,1
0,"0",1,1,5166,0,128000,360,1,2,1
0,"0",1,0,4095,3447,151000,360,1,1,1
1,"2",1,0,4708,1387,150000,360,1,2,1
0,"1",1,0,5823,2529,187000,360,1,2,1
1,"0",0,0,7895,0,143000,360,1,1,1
1,"3",1,0,4333,1811,160000,360,0,3,1
0,"1",1,0,2876,1560,90000,360,1,3,1
0,"0",1,0,4150,4256,209000,360,1,1,1
0,"0",1,0,3237,0,30000,360,1,3,1
1,"0",1,0,11146,0,136000,360,1,3,1
0,"0",1,0,2833,1857,126000,360,1,1,1
1,"0",1,0,2620,2223,150000,360,1,2,1
1,"2",1,0,3900,0,90000,360,1,2,1
1,"1",1,0,2750,1842,115000,360,1,2,1
1,"0",1,0,3993,3274,207000,360,1,2,1
1,"0",1,0,3103,1300,80000,360,1,3,1
1,"0",1,0,14583,0,436000,360,1,2,1
1,"0",0,0,4100,0,124000,360,1,1,1
0,"0",1,0,5583,0,116000,360,1,3,1
0,"0",1,0,2708,0,65000,360,1,1,1
1,"0",1,0,3927,800,112000,360,1,2,1
1,"2",1,0,2301,985.7999878,78000,180,1,3,1
0,"0",1,0,1811,1666,54000,360,1,3,1
0,"1",1,0,3180,2370,80000,240,1,1,1
0,"0",1,0,3158,3053,89000,360,1,1,1
1,"0",1,0,3704,2000,120000,360,1,1,1
0,"0",1,0,4124,0,115000,360,1,2,1
0,"0",1,0,9508,0,187000,360,1,1,1
1,"0",1,0,3075,2416,139000,360,1,1,1
1,"2",1,0,3153,1560,134000,360,1,3,1
1,"0",1,0,3042,3167,135000,360,1,3,1
1,"0",1,0,2383,3334,172000,360,1,2,1
1,"3",1,0,4416,1250,110000,360,1,3,1
1,"1",1,0,6875,0,2e+05,360,1,2,1
1,"1",1,0,4666,0,135000,360,1,3,1
1,"1",1,0,3564,0,79000,360,1,1,1
0,"0",1,0,3958,0,110000,360,1,1,1
1,"2",0,0,2875,1750,105000,360,1,2,1
1,"2",0,0,4483,0,130000,360,1,1,1
0,"0",1,0,5000,0,132000,360,1,1,1
1,"0",1,0,5225,0,143000,360,1,1,1
1,"1",1,0,1625,1803,96000,360,1,3,1
0,"0",1,0,4000,2500,140000,360,1,1,1
0,"0",1,0,3762,1666,135000,360,1,1,1
1,"2",0,0,7667,0,185000,360,1,1,1
1,"2",1,0,4912,4614,160000,360,1,1,1
0,"0",1,0,2917,0,84000,360,1,2,1
0,"0",0,0,2927,2405,111000,360,1,2,1
0,"0",1,0,2507,0,56000,360,1,1,1
1,"2",0,0,2500,3333,131000,360,1,3,1
1,"2",1,1,5746,0,144000,84,1,1,1
0,"0",1,0,2918,0,65000,360,1,1,1
1,"2",1,0,5128,0,143000,360,1,1,1
1,"3",1,0,15312,0,187000,360,1,3,1
1,"2",1,0,3958,2632,160000,360,1,2,1
1,"0",1,0,4334,2945,165000,360,1,2,1
1,"2",1,0,4358,0,110000,360,1,3,1
1,"1",0,0,3399,1640,111000,180,1,3,1
1,"2",1,0,3717,0,120000,360,1,2,1
1,"0",1,0,2058,2134,88000,360,1,3,1
1,"1",1,0,4000,3917,173000,360,1,1,1
0,"1",1,0,3541,0,112000,360,1,2,1
1,"3",1,0,10166,750,150000,360,1,3,1
1,"0",0,0,4483,0,135000,360,1,2,1
1,"2",0,0,4521,1184,150000,360,1,2,1
1,"0",1,0,2400,2167,115000,360,1,2,1
1,"3",1,0,4342,189,124000,360,1,2,1
1,"2",0,0,3601,1590,142195,360,1,1,1
0,"0",1,0,3166,2985,132000,360,1,1,1
1,"2",1,0,9167,0,235000,360,1,2,1
1,"0",0,0,13083,0,194264,360,1,1,1
1,"2",1,0,7874,3967,336000,360,1,1,1
1,"1",1,0,4333,0,132000,84,1,1,1
0,"0",1,0,4083,0,96000,360,1,3,1
1,"3",1,0,15000,0,3e+05,360,1,1,1
0,"0",1,0,4917,0,130000,360,0,1,1
1,"1",1,0,10000,2690,412000,360,1,2,1
1,"0",1,1,5818,2160,184000,360,1,2,1
0,"0",1,1,5833,0,116000,360,1,3,1
0,"0",1,0,2500,0,67000,360,1,3,1
1,"0",0,0,2000,1600,115000,360,1,1,1
0,"1",1,0,4384,1793,117000,360,1,3,1
0,"0",1,0,2935,0,98000,360,1,2,1
0,"0",1,0,2833,0,71000,360,1,3,1
1,"0",1,0,63337,0,490000,180,1,3,1
1,"0",1,1,1900,1442,88000,360,1,1,1
1,"1",1,1,9833,1833,182000,180,1,3,1
1,"0",1,1,8706,0,108000,480,1,1,1
1,"0",1,1,5503,4490,70000,360,1,2,1
1,"3",0,0,2855,542,90000,360,1,3,1
1,"1",1,0,5250,688,160000,360,1,1,1
1,"0",1,0,3016,1300,1e+05,360,1,3,1
1,"2",1,1,2500,4600,176000,360,1,1,1
0,"0",1,0,4160,0,71000,360,1,2,1
1,"0",1,0,3159,2374,108000,360,1,2,1
0,"0",1,0,1937,1152,78000,360,1,2,1
1,"1",0,0,4554,1229,158000,360,1,3,1
1,"0",1,0,2613,2417,123000,360,1,2,1
1,"1",1,0,4960,2600,187000,360,1,2,1
1,"3",0,0,3173,0,74000,360,1,2,1
1,"2",1,0,2583,2330,125000,360,1,1,1
1,"0",1,0,2499,2458,160000,360,1,2,1
1,"2",0,0,3083,2168,126000,360,1,3,1
1,"0",1,0,6333,4583,259000,360,1,2,1
1,"0",1,0,2625,6250,187000,360,1,1,1
1,"0",1,0,9083,0,228000,360,1,2,1
1,"3",1,0,2666,2083,95000,360,1,1,1
1,"0",1,0,2423,505,130000,360,1,2,1
0,"0",1,0,3813,0,116000,180,1,3,1
1,"1",1,0,3074,1083,146000,360,1,2,1
1,"2",1,0,8333,3167,165000,360,1,1,1
0,"0",1,0,4213,0,80000,360,1,3,1
1,"3",1,0,5167,3167,2e+05,360,1,2,1
0,"1",0,0,2038,4027,1e+05,360,1,1,1
0,"0",1,0,2362,0,55000,360,1,3,1
1,"2",1,0,5000,3667,236000,360,1,2,1
1,"3",1,1,5384,0,150000,360,1,2,1
1,"0",1,0,4750,2333,130000,360,1,3,1
0,"0",1,0,5708,0,150000,360,1,1,1
1,"0",1,0,3013,3033,95000,300,1,3,1
0,"0",1,1,6822,0,141000,360,1,1,1
1,"0",0,0,3754,3719,118000,360,1,1,1
1,"0",0,0,2914,2130,150000,300,1,3,1
1,"0",0,0,2747,2458,118000,36,1,2,1
1,"1",1,0,6325,0,175000,360,1,2,1
1,"0",1,0,7830,2183,212000,360,1,1,1
0,"0",1,1,15759,0,55000,360,1,2,1
1,"1",1,1,3507,3148,212000,360,1,1,1
1,"2",1,0,5185,0,155000,360,1,2,1
1,"2",1,1,9323,7873,380000,300,1,1,1
1,"1",1,0,3747,2139,125000,360,1,3,1
0,"0",1,0,2764,1459,110000,360,1,3,1
1,"0",1,0,4817,923,120000,180,1,3,1
1,"0",1,0,2166,2166,108000,360,1,3,1
1,"3",1,0,8750,4996,130000,360,1,1,1
1,"0",1,0,4310,0,130000,360,1,2,1
1,"2",1,0,5391,0,130000,360,1,3,1
1,"0",1,0,3333,2500,128000,360,1,2,1
0,"0",1,0,5941,4232,296000,360,1,2,1
0,"0",1,0,6000,0,156000,360,1,3,1
0,"0",1,1,7167,0,128000,360,1,3,1
0,"1",1,0,3667,0,113000,180,1,3,1
0,"0",0,0,2346,1600,132000,360,1,2,1
1,"0",0,0,3500,2168,149000,360,1,1,1
1,"0",1,0,2333,2417,136000,360,1,3,1
1,"2",0,0,2896,0,80000,480,1,3,1
1,"0",1,0,5488,0,125000,360,1,1,1
0,"1",1,0,5062,0,152000,300,1,1,1
0,"3",1,0,9167,0,185000,360,1,1,1
0,"0",1,0,2545,0,74000,360,1,3,1
1,"3",1,0,9504,0,275000,360,1,1,1
1,"0",1,0,2583,2115,120000,360,1,3,1
1,"0",1,0,2553,1768,102000,360,1,3,1
1,"2",0,0,1993,1625,113000,180,1,2,1
1,"2",1,0,3100,1400,113000,360,1,3,1
1,"1",1,0,3436,3809,1e+05,360,1,1,1
1,"2",1,0,3276,484,135000,360,1,2,1
0,"0",1,0,2412,2755,130000,360,1,1,1
1,"0",1,0,3033,1459,95000,360,1,3,1
0,"0",0,0,3902,1666,109000,360,1,1,1
0,"0",1,0,14911,14507,130000,360,1,2,1
0,"0",1,0,2500,20000,103000,360,1,2,1
0,"0",1,1,2860,2988,138000,360,1,3,1
0,"0",0,0,1963,0,53000,360,1,2,1
0,"0",1,0,4547,0,115000,360,1,2,1
1,"0",1,0,1173,1594,28000,180,1,1,1
1,"0",0,0,2167,2400,115000,360,1,3,1
0,"1",1,0,7600,0,92000,360,1,2,1
1,"0",1,0,2157,1788,104000,360,1,3,1
0,"0",0,0,2213,0,66000,360,1,1,1
1,"0",1,0,6256,0,160000,360,1,3,1
1,"2",0,0,6166,13983,102000,360,1,1,1
1,"2",0,0,2513,1110,107000,360,1,2,1
0,"0",1,0,4333,0,66000,480,1,3,1
1,"0",0,0,2253,2033,110000,360,1,1,1
0,"0",0,0,3844,0,105000,360,1,3,1
0,"0",1,0,2995,0,60000,360,1,3,1
1,"0",1,0,3510,828,105000,360,1,2,1
1,"0",1,0,1025,2773,112000,360,1,1,1
1,"0",1,0,3246,1417,138000,360,1,2,1
1,"0",1,0,5829,0,138000,360,1,1,1
0,"0",0,0,2107,0,64000,360,1,2,1
1,"2",1,1,5000,2166,150000,360,1,3,1
1,"2",1,0,10000,0,171849,360,1,3,1
1,"0",1,0,1820,1719,1e+05,360,1,3,1
1,"0",1,0,14880,0,96000,360,1,2,1
1,"0",1,0,2666,4300,121000,360,1,1,1
1,"2",1,0,5935,0,133000,360,1,2,1
1,"0",1,0,2920,16.12000084,87000,360,1,1,1
0,"0",0,0,2717,0,60000,180,1,3,1
1,"0",0,1,3943,0,64000,360,1,2,1
0,"0",1,0,2925,0,40000,180,1,1,1
0,"1",1,1,8624,0,150000,360,1,2,1
1,"2",1,0,3863,0,70000,300,1,2,1
0,"0",1,0,12876,0,405000,360,1,2,1
1,"0",1,0,2425,2340,143000,360,1,2,1
0,"1",1,0,4028,0,131000,360,1,2,1
0,"0",1,0,3750,0,1e+05,360,1,3,1
0,"0",1,0,10047,0,152481,240,1,2,1
1,"2",1,0,4010,1025,120000,360,1,3,1
1,"1",1,0,3719,1585,114000,360,1,3,1
0,"0",1,0,1926,1851,50000,360,1,2,1
1,"0",1,0,3833,0,92000,360,1,1,1
1,"0",1,0,2213,1125,114108,360,1,3,1
1,"0",1,0,3333,4288,160000,360,1,3,1
1,"0",0,1,7142,0,138000,360,1,1,1
0,"0",1,0,3660,5064,187000,360,1,2,1
1,"0",1,0,7901,1833,180000,360,1,1,1
1,"0",1,0,3007,3725,151000,360,1,1,1
0,"1",1,0,1850,4583,81000,360,1,1,1
1,"3",0,0,2792,2619,171000,360,1,2,1
0,"3",0,0,4707,1993,148000,360,1,2,1
1,"0",1,0,2982,1550,110000,360,1,2,1
0,"1",1,0,37719,0,152000,360,1,2,1
1,"0",1,0,7333,8333,175000,300,1,1,1
0,"0",1,0,3417,738,1e+05,360,1,1,1
1,"1",1,1,3466,1210,130000,360,1,1,1
1,"1",1,0,18840,0,234000,360,1,1,1
1,"2",0,0,4652,0,110000,360,1,1,1
1,"2",1,0,2995,1120,184000,360,1,1,1
0,"0",1,0,3579,3308,138000,360,1,2,1
0,"1",0,0,3854,3575,117000,360,1,1,1
1,"2",0,0,1958,1456,60000,300,1,3,1
1,"0",1,0,2483,2466,90000,180,0,1,1
0,"0",1,1,7085,0,84000,360,1,2,1
1,"2",1,0,3859,0,96000,360,1,2,1
1,"0",1,0,4301,0,118000,360,1,3,1
0,"0",1,0,3508,0,99000,360,1,1,1
0,"2",1,0,4354,0,136000,360,1,1,1
1,"3",0,0,1635,2444,99000,360,1,3,1
